date,adv,dec
2026-04-02,311.0,1213.0
2026-04-03,1184.0,316.0
2026-04-06,944.0,555.0
2026-04-07,1116.0,408.0
2026-04-08,1375.0,164.0
2026-04-09,280.0,1256.0
2026-04-10,461.0,1042.0
2026-04-13,464.0,1052.0
2026-04-14,893.0,630.0
2026-04-15,1009.0,515.0
2026-04-16,896.0,604.0
2026-04-17,481.0,1020.0
2026-04-20,644.0,855.0
2026-04-21,511.0,1008.0
2026-04-22,235.0,1293.0
2026-04-23,335.0,1183.0
2026-04-24,548.0,965.0
2026-04-27,679.0,832.0
2026-04-28,1282.0,247.0
2026-04-30,342.0,1186.0
2026-05-01,664.0,836.0
2026-05-07,1180.0,345.0
2026-05-08,708.0,814.0
2026-05-11,866.0,644.0
2026-05-12,668.0,845.0
2026-05-13,925.0,586.0
2026-05-14,662.0,861.0
2026-05-15,849.0,672.0
2026-05-18,436.0,1100.0
2026-05-19,1111.0,427.0
2026-05-20,261.0,1274.0
2026-05-21,1007.0,502.0
2026-05-22,848.0,662.0
2026-05-25,684.0,847.0
2026-05-26,695.0,810.0
2026-05-27,717.0,786.0
2026-05-28,767.0,744.0
2026-05-29,937.0,581.0
2026-06-01,422.0,1113.0
2026-06-02,438.0,1086.0
2026-06-03,1016.0,511.0
2026-06-04,431.0,1077.0
2026-06-05,1192.0,341.0
2026-06-08,459.0,1074.0
2026-06-09,841.0,668.0
2026-06-10,833.0,692.0
2026-06-11,537.0,985.0
2026-06-12,964.0,553.0
2026-06-15,1089.0,433.0
2026-06-16,449.0,1077.0
2026-06-17,929.0,575.0
2026-06-18,938.0,574.0
2026-06-19,648.0,870.0
2026-06-22,791.0,726.0
2026-06-23,367.0,1152.0
2026-06-24,676.0,826.0
2026-06-25,1042.0,469.0
2026-06-26,915.0,611.0
2026-06-29,1097.0,427.0
2026-06-30,526.0,1001.0
2026-07-01,677.0,830.0
2026-07-02,1216.0,314.0
2026-07-03,1227.0,291.0
2026-07-06,1142.0,385.0
2026-07-07,746.0,773.0
2026-07-08,565.0,960.0
2026-07-09,585.0,918.0
2026-07-10,816.0,706.0
2026-07-13,571.0,942.0
2026-07-14,1186.0,327.0
2026-07-15,1153.0,371.0
2026-07-16,446.0,1070.0
